y_pred	y_true
[0.8669797]	1
[0.09733871]	0
[0.15391448]	0
[0.13171504]	0
[0.13304481]	0
[0.85380733]	1
[0.14025183]	0
[0.02966492]	0
[0.26834178]	0
[0.0684932]	0
[0.80253416]	1
[0.17274243]	0
[0.05203481]	0
[0.0353787]	0
[0.17635086]	0
[0.41587844]	1
[0.05322949]	0
[0.16527273]	0
[0.13145833]	0
[0.31992087]	0
[0.60450685]	1
[0.15184937]	0
[0.11742974]	0
[0.3502504]	0
[0.08375926]	0
[0.7334535]	1
[0.08192368]	0
[0.12011684]	0
[0.10200741]	0
[0.17132686]	0
[0.8074392]	1
[0.25166956]	0
[0.01703524]	0
[0.16542014]	0
[0.12180001]	0
[0.7153507]	1
[0.24437967]	0
[0.20564209]	0
[0.19333439]	0
[0.07498141]	0
[0.86428547]	1
[0.12530325]	0
[0.06927613]	0
[0.07905813]	0
[0.13351187]	0
[0.73743904]	1
[0.08059302]	0
[0.16141742]	0
[0.13575701]	0
[0.14837165]	0
[0.7516465]	1
[0.08556572]	0
[0.05890569]	0
[0.11104352]	0
[0.14145559]	0
[0.74995327]	1
[0.2143354]	0
[0.07509205]	0
[0.11864842]	0
[0.0927117]	0
[0.7919322]	1
[0.1865036]	0
[0.2592657]	0
[0.058571]	0
[0.20956275]	0
[0.5741461]	1
[0.08816691]	0
[0.37344074]	0
[0.07119252]	0
[0.08069402]	0
[0.7816454]	1
[0.07428738]	0
[0.16197242]	0
[0.07031474]	0
[0.09767982]	0
[0.6263558]	1
[0.08858372]	0
[0.07861891]	0
[0.0313818]	0
[0.08139476]	0
[0.85224974]	1
[0.0799072]	0
[0.30345118]	0
[0.10552578]	0
[0.15804371]	0
[0.04613128]	0
[0.06106146]	0
[0.07267145]	0
[0.10382656]	0
[0.20360596]	0
[0.10088268]	0
[0.11584479]	0
[0.10237633]	0
[0.31252563]	0
[0.16868167]	0
[0.84131366]	1
[0.3038357]	0
[0.17096417]	0
[0.11879148]	0
[0.12333602]	0
[0.7400643]	1
[0.1184672]	0
[0.06700858]	0
[0.07093505]	0
[0.02456188]	0
[0.6405597]	1
[0.04581227]	0
[0.06589294]	0
[0.1769982]	0
[0.10908487]	0
[0.69091964]	1
[0.13528034]	0
[0.09515903]	0
[0.14280114]	0
[0.22263]	0
[0.50523233]	1
[0.15826109]	0
[0.29567453]	0
[0.23218168]	0
[0.12354503]	0
[0.7378261]	1
[0.04347911]	0
[0.19993635]	0
[0.8825757]	1
[0.8625578]	1
[0.8625854]	1
[0.69434863]	1
[0.841935]	1
[0.54114217]	1
[0.67226946]	1
[0.24464308]	1
[0.7391232]	1
[0.75302464]	1
[0.82514554]	1
[0.7589332]	1
[0.7242268]	1
[0.81251013]	1
[0.86745614]	1
[0.7262979]	1
[0.59142685]	1
[0.9001043]	1
[0.7974962]	1
[0.80596316]	1
[0.77372783]	1
[0.81855005]	1
[0.8672844]	1
[0.78855175]	1
[0.70728827]	1
[0.3450235]	1
[0.76983225]	1
[0.8574704]	1
[0.67158484]	1
[0.4766111]	1
[0.59440786]	1
[0.74462116]	1
[0.81463104]	1
[0.7670245]	1
[0.71332705]	1
[0.8183829]	1
[0.84117347]	1
[0.6791581]	1
[0.8443146]	1
[0.77810645]	1
[0.7686806]	1
[0.74297535]	1
[0.75083613]	1
[0.8161183]	1
[0.61180466]	1
[0.80513453]	1
[0.798541]	1
[0.574959]	1
[0.86253816]	1
[0.6160464]	1
[0.61292315]	1
[0.71211255]	1
[0.7821409]	1
[0.8352945]	1
[0.82407784]	1
[0.7630843]	1
[0.8481555]	1
[0.84743416]	1
[0.4914117]	1
[0.6627954]	1
[0.8177136]	1
[0.74584866]	1
[0.7729404]	1
[0.8489425]	1
[0.52393425]	1
[0.70465875]	1
[0.7776272]	1
[0.8660008]	1
[0.734038]	1
[0.7839661]	1
[0.87306094]	1
[0.68376005]	1
[0.8108637]	1
[0.8284899]	1
[0.7185972]	1
[0.81122094]	1
[0.82321674]	1
